Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	40	45.97701149425287	7.214729007317567E-18	CRP, IL1RN, CSF2, CXCL8, CFH, IFNA1, PLG, FASLG, HMGB1, TNF, EGFR, LGALS3, MUC1, ALOX5, CCL2, IFNL3, IL33, TGFB2, IFNB1, IL15, ARG1, HGF, IL18, MIR21, F2, HLA-G, DCN, POMC, IL4, IL1A, IL6, ARTN, IL7, IL1B, ALB, PAEP, REN, AGRP, CD46, TLR3	87	1990	20647	4.77028822272281	1.3707985113903375E-15	1.3707985113903375E-15	1.2553628472732566E-15
GOTERM_CC_DIRECT	GO:0005576~extracellular region	36	41.37931034482759	5.039212818945091E-13	CRP, CSF2, CXCL8, CFH, IFNA1, PLG, FASLG, HMGB1, TNF, LGALS3, ALOX5, CCL2, MAPK1, IFNL3, IL33, TGFB2, IFNB1, IL15, ARG1, HGF, IL18, MAPK14, F2, DCN, POMC, IL4, IL1A, IL6, CXCL12, ARTN, IL7, IL1B, ALB, TLR9, PAEP, REN	87	2208	20647	3.8693778110944526	9.574674386669813E-11	4.7872521779978365E-11	4.384115152482229E-11
GOTERM_CC_DIRECT	GO:0009986~cell surface	17	19.54022988505747	1.1247700421114084E-8	CD40, IL15, ITGB2, PLG, HMGB1, TNF, EGFR, IL1A, LGALS3, MRC1, CD28, DMD, CD46, MYD88, HAVCR2, SLAMF1, TLR2	87	657	20647	6.1407477387638	2.1370608116466627E-6	7.12354360003892E-7	6.523666244246169E-7
GOTERM_CC_DIRECT	GO:0005942~phosphatidylinositol 3-kinase complex	6	6.896551724137931	2.7756134253261088E-8	SOCS3, SOCS1, PIK3CA, PIK3CD, PIK3CB, PIK3CG	87	22	20647	64.72413793103449	5.273651680570701E-6	1.3184163770299017E-6	1.2073918400168574E-6
GOTERM_CC_DIRECT	GO:0005943~phosphatidylinositol 3-kinase complex, class IA	4	4.597701149425287	5.755752160101282E-6	PIK3CA, PIK3CD, PIK3CB, PIK3CG	87	9	20647	105.47637292464879	0.0010929982994106746	2.1871858208384872E-4	2.003001751715246E-4
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	10	11.494252873563218	1.8445375490255787E-4	CD40, CXCL12, ITGB2, CD28, FASLG, PLG, F2, TNF, HLA-G, SLAMF1	87	484	20647	4.903343782654127	0.03444232791818458	0.005841035571914332	0.005349158892174178
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	37	42.5287356321839	0.0013257179094096519	IL1RN, CD40, CSF2, POLDIP2, ITGB2, RAPH1, PIK3CD, PLG, FASLG, HMGB1, PIK3CB, TNF, EGFR, PIK3CG, LGALS3, MUC1, GRAP2, MRC1, MAPK1, DMD, JAK3, ENTPD1, F2, HLA-G, IL1A, TRBV20OR9-2, PIK3CA, TLR9, CD28, REN, ACSBG1, CD46, CRK, MYD88, TLR3, NFE2L2, TLR2	87	5455	20647	1.6096990001791038	0.22279685558179751	0.035983771826833405	0.03295355946246849
GOTERM_CC_DIRECT	GO:0031093~platelet alpha granule lumen	4	4.597701149425287	0.002876533436835953	TGFB2, HGF, ALB, PLG	87	68	20647	13.960108181203514	0.4215070597339602	0.06831766912485389	0.06256460225118197
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	37	42.5287356321839	0.003784653866309931	IL1RN, PIK3CD, PIK3CB, PTGS2, HIF1A, EGFR, PIK3CG, LGALS3, SOCS1, CASP3, RNF19A, ALOX5, GRAP2, MAPK1, DMD, IL33, IL15, ARG1, IL18, MIR21, MAPK14, POMC, ISG20, AIMP2, CXCL12, PIK3CA, ALB, TLR9, REN, PPARG, ACSBG1, TP53, CRK, MYD88, TLR3, NFE2L2, TLR2	87	5771	20647	1.5215574503512408	0.5134659646195053	0.07335605779044123	0.0671787055554567
GOTERM_CC_DIRECT	GO:0045121~membrane raft	6	6.896551724137931	0.003860845146865328	CASP3, DMD, TNF, CRK, EGFR, TLR2	87	249	20647	5.718598532059271	0.5204851019815828	0.07335605779044123	0.0671787055554567
GOTERM_CC_DIRECT	GO:0043025~neuronal cell body	7	8.045977011494253	0.005233511197906801	TGFB2, CD40, ARG1, CASP3, AGRP, DMD, TNF	87	382	20647	4.348829511945598	0.6310072406851894	0.09039701160020838	0.08278463167598031
GOTERM_CC_DIRECT	GO:0032991~macromolecular complex	9	10.344827586206897	0.008513657777186337	ALB, DMD, PTGS2, HIF1A, TNF, TP53, CRK, EGFR, MYD88	87	697	20647	3.0644139909958934	0.8029938113618145	0.12140191760169886	0.1111785982247137
GOTERM_CC_DIRECT	GO:0005829~cytosol	35	40.229885057471265	0.008886430897233528	IL1RN, RAPH1, PIK3CD, GPT, PIK3CB, HIF1A, PIK3CG, LGALS3, SOCS3, SOCS1, CASP3, RNF19A, ALOX5, GRAP2, MAPK1, DMD, JAK3, PDLIM7, IL15, ARG1, IL18, AHSA1, MAPK14, AIMP2, IL1A, POR, PIK3CA, IL1B, CD28, PPARG, ACSBG1, TP53, CRK, MYD88, NFE2L2	87	5627	20647	1.4761443696136647	0.8165785255228333	0.12140191760169886	0.1111785982247137
GOTERM_CC_DIRECT	GO:0019897~extrinsic component of plasma membrane	3	3.4482758620689653	0.00985508681458321	PLG, JAK3, MYD88	87	36	20647	19.776819923371647	0.8476773371297849	0.12140191760169886	0.1111785982247137
GOTERM_CC_DIRECT	GO:0005796~Golgi lumen	4	4.597701149425287	0.010143846517546892	MUC1, AGRP, F2, DCN	87	107	20647	8.871844451605972	0.8558891848064472	0.12140191760169886	0.1111785982247137
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	18	20.689655172413794	0.010223319376985167	IL1RN, ENTPD1, CD40, CFH, ITGB2, AHSA1, FASLG, MIR21, GPT, PLG, F2, LGALS3, MUC1, CXCL12, ALB, CD46, CRK, SLAMF1	87	2240	20647	1.9070504926108374	0.8580709396565791	0.12140191760169886	0.1111785982247137
GOTERM_CC_DIRECT	GO:0005768~endosome	6	6.896551724137931	0.011705527661954318	IL15, GRAP2, TLR9, HMGB1, JAK3, EGFR	87	326	20647	4.367886608842818	0.8932397460989255	0.13082648563360708	0.11980951842235595
GOTERM_CC_DIRECT	GO:0034774~secretory granule lumen	4	4.597701149425287	0.012612473820224145	POMC, ALOX5, HMGB1, MAPK14	87	116	20647	8.183511692429647	0.9103292261696102	0.13313166810236596	0.12192058026216672
GOTERM_CC_DIRECT	GO:1904813~ficolin-1-rich granule lumen	4	4.597701149425287	0.015396134004484136	ALOX5, MAPK1, HMGB1, MAPK14	87	125	20647	7.594298850574712	0.9475564637690389	0.1497365043878902	0.13712711454469945
GOTERM_CC_DIRECT	GO:0001772~immunological synapse	3	3.4482758620689653	0.015761737303988443	LGALS3, CD28, HAVCR2	87	46	20647	15.47751124437781	0.9511295386444214	0.1497365043878902	0.13712711454469945
GOTERM_CC_DIRECT	GO:0005944~phosphatidylinositol 3-kinase complex, class IB	2	2.2988505747126435	0.01655840432923693	PIK3CA, PIK3CG	87	4	20647	118.66091954022988	0.958098562552725	0.14981413440738175	0.13719820729939172
GOTERM_CC_DIRECT	GO:0072562~blood microparticle	4	4.597701149425287	0.023968553010116564	CFH, ALB, PLG, F2	87	148	20647	6.414103758931344	0.9900431033195217	0.20700113963282488	0.18956946471637645
